nc_file,variable,band,year,scenario,output_name
SSP1-19_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP1-19,IMAGE_energy_crops_ir_SSP1-19_2020.tif
SSP1-26_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP1-26,IMAGE_energy_crops_ir_SSP1-26_2020.tif
SSP1-34_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP1-34,IMAGE_energy_crops_ir_SSP1-34_2020.tif
SSP1-45_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP1-45,IMAGE_energy_crops_ir_SSP1-45_2020.tif
SSP1-Baseline_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP1-Baseline,IMAGE_energy_crops_ir_SSP1-Baseline_2020.tif
SSP2-19_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP2-19,IMAGE_energy_crops_ir_SSP2-19_2020.tif
SSP2-26_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP2-26,IMAGE_energy_crops_ir_SSP2-26_2020.tif
SSP2-34_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP2-34,IMAGE_energy_crops_ir_SSP2-34_2020.tif
SSP2-45_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP2-45,IMAGE_energy_crops_ir_SSP2-45_2020.tif
SSP2-60_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP2-60,IMAGE_energy_crops_ir_SSP2-60_2020.tif
SSP2-Baseline_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP2-Baseline,IMAGE_energy_crops_ir_SSP2-Baseline_2020.tif
SSP3-34_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP3-34,IMAGE_energy_crops_ir_SSP3-34_2020.tif
SSP3-45_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP3-45,IMAGE_energy_crops_ir_SSP3-45_2020.tif
SSP3-60_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP3-60,IMAGE_energy_crops_ir_SSP3-60_2020.tif
SSP3-Baseline_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_63,2020,SSP3-Baseline,IMAGE_energy_crops_ir_SSP3-Baseline_2020.tif
SSP1-19_GLANDCOVERDETAIL_30MIN.nc,energy_crops_ir,band_75,2030,SSP1-19,IMAGE_energy_crops_ir_SSP1-19_2030.tif
